District,Province,Year,Setting,Pass_Rate_Pct,Number_of_Students,Number_of_Schools,Pupil_Teacher_Ratio,Textbook_Availability_Index,ICT_Resource_Index,School_Infrastructure_Index,Proportion_Schools_With_Science_Labs,Poverty_Incidence_Pct,Adult_Literacy_Rate_Pct,Unemployment_Rate_Pct,Avg_Household_Income_USD,Youth_Population_Density,Rural_Urban,Distance_to_Exam_Center_km,Previous_Year_Pass_Rate_Pct,Grade7_Pass_Rate_Pct
Chitungwiza,Harare,2018,November,79.4,44461,116,29.4,0.9,0.59,0.73,0.69,34.1,95.1,8.4,325.0,775.9,Urban,3.3,73.0,88.3
Chitungwiza,Harare,2019,June,78.0,23900,118,29.2,0.85,0.61,0.76,0.7,32.5,92.7,10.1,335.0,756.8,Urban,3.1,79.4,88.5
Chitungwiza,Harare,2019,November,87.7,44956,117,30.1,0.87,0.57,0.75,0.71,31.8,91.9,12.0,349.0,781.6,Urban,3.2,78.0,89.4
Chitungwiza,Harare,2020,June,70.9,23566,118,31.5,0.9,0.59,0.79,0.7,37.7,95.4,15.7,275.0,777.0,Urban,2.9,87.7,85.4
Chitungwiza,Harare,2020,November,78.8,45578,118,32.0,0.87,0.62,0.79,0.72,36.7,94.8,14.7,271.0,795.6,Urban,3.1,70.9,84.4
Chitungwiza,Harare,2021,June,70.6,25179,118,31.6,0.89,0.63,0.76,0.68,36.1,94.3,17.3,295.0,749.3,Urban,3.1,78.8,82.9
Chitungwiza,Harare,2021,November,80.8,45519,118,30.0,0.88,0.63,0.81,0.72,38.0,92.2,16.9,299.0,778.1,Urban,3.0,70.6,86.7
Chitungwiza,Harare,2022,June,78.5,25109,121,28.9,0.94,0.66,0.8,0.67,31.9,93.2,10.6,332.0,777.9,Urban,2.9,80.8,88.3
Chitungwiza,Harare,2022,November,81.8,46820,120,28.4,0.9,0.71,0.79,0.72,32.1,95.7,9.2,342.0,803.9,Urban,3.0,78.5,85.7
Chitungwiza,Harare,2023,June,80.7,24729,120,27.3,0.92,0.69,0.81,0.72,31.5,93.9,9.5,353.0,790.2,Urban,3.0,81.8,89.9
Chitungwiza,Harare,2023,November,80.8,47439,121,28.0,0.95,0.73,0.79,0.72,31.9,96.2,10.0,348.0,827.7,Urban,2.9,80.7,88.4
Chitungwiza,Harare,2024,June,79.8,26180,122,28.0,0.97,0.73,0.79,0.7,31.6,94.5,12.4,374.0,810.1,Urban,2.8,80.8,89.5
Chitungwiza,Harare,2024,November,82.9,48315,122,27.0,0.91,0.75,0.79,0.71,29.7,96.2,8.3,377.0,798.9,Urban,2.8,79.8,86.1
Epworth,Harare,2015,June,70.9,31002,41,30.2,0.63,0.8,0.88,0.73,30.2,90.0,19.4,290.0,172.3,Urban,2.5,72.0,65.0
Epworth,Harare,2015,November,76.5,57528,42,29.2,0.58,0.74,0.9,0.75,29.7,90.4,21.6,311.0,170.6,Urban,2.6,70.9,63.2
Epworth,Harare,2016,June,74.0,31595,42,28.6,0.62,0.78,0.89,0.8,29.7,90.9,16.6,315.0,184.1,Urban,2.7,76.5,66.8
Epworth,Harare,2016,November,72.0,57818,42,30.4,0.63,0.79,0.87,0.77,28.5,91.4,19.7,294.0,175.9,Urban,2.5,74.0,62.1
Epworth,Harare,2017,June,69.9,31247,42,28.8,0.61,0.76,0.89,0.77,28.1,90.3,18.7,296.0,180.8,Urban,2.6,72.0,62.6
Epworth,Harare,2017,November,76.1,58458,42,28.9,0.63,0.76,0.87,0.78,29.2,92.2,18.5,312.0,179.8,Urban,2.5,69.9,63.6
Epworth,Harare,2018,June,74.7,32573,42,28.9,0.67,0.82,0.88,0.78,29.0,90.5,20.8,331.0,181.6,Urban,2.5,76.1,64.8
Epworth,Harare,2018,November,74.9,61534,42,30.1,0.67,0.84,0.9,0.8,28.4,91.3,18.1,308.0,179.5,Urban,2.5,74.7,64.4
Epworth,Harare,2019,June,73.6,33385,42,29.3,0.69,0.83,0.92,0.82,27.1,90.1,20.0,312.0,190.6,Urban,2.5,74.9,66.6
Epworth,Harare,2019,November,77.9,60609,43,29.8,0.62,0.81,0.91,0.79,28.6,90.6,18.5,309.0,183.4,Urban,2.6,73.6,68.6
Epworth,Harare,2020,June,68.0,34368,43,31.0,0.64,0.86,0.92,0.83,31.8,89.9,23.8,277.0,186.1,Urban,2.5,77.9,62.2
Epworth,Harare,2020,November,72.8,61434,43,31.8,0.62,0.82,0.93,0.76,32.6,92.0,27.3,286.0,194.4,Urban,2.5,68.0,64.3
Epworth,Harare,2021,June,67.6,34468,44,30.2,0.67,0.83,0.97,0.77,32.2,91.5,26.2,296.0,191.5,Urban,2.5,72.8,65.8
Epworth,Harare,2021,November,75.5,62983,44,29.5,0.64,0.88,0.93,0.79,32.1,91.1,26.9,277.0,190.6,Urban,2.4,67.6,63.5
Epworth,Harare,2022,June,72.3,34146,44,28.4,0.66,0.95,0.94,0.81,27.4,93.3,17.2,349.0,190.7,Urban,2.4,75.5,68.3
Epworth,Harare,2022,November,82.1,62549,44,28.8,0.68,0.93,0.98,0.82,26.4,91.5,20.2,345.0,197.7,Urban,2.5,72.3,67.2
Epworth,Harare,2023,June,77.6,34484,45,27.0,0.74,0.95,0.94,0.82,26.6,92.2,17.7,366.0,192.0,Urban,2.5,82.1,68.0
Epworth,Harare,2023,November,80.1,65675,44,26.8,0.68,0.92,0.92,0.79,25.3,93.0,20.1,351.0,199.5,Urban,2.4,77.6,63.9
Epworth,Harare,2024,June,74.2,36260,44,27.2,0.68,0.95,0.96,0.84,26.2,93.6,19.5,358.0,199.8,Urban,2.4,80.1,67.9
Epworth,Harare,2024,November,77.3,64130,45,27.5,0.68,0.95,0.98,0.86,25.9,92.7,18.4,342.0,200.2,Urban,2.4,74.2,67.6
Buhera,Manicaland,2015,June,31.2,764,15,50.4,0.19,0.08,0.25,0.16,79.3,63.2,47.5,110.0,60.8,Rural,31.3,31.3,26.1
Buhera,Manicaland,2015,November,33.9,1409,15,51.4,0.18,0.08,0.24,0.15,79.1,62.6,47.1,103.0,59.9,Rural,31.2,31.2,29.9
Buhera,Manicaland,2016,June,30.9,778,15,49.9,0.2,0.1,0.27,0.16,82.8,64.9,48.3,110.0,61.3,Rural,31.7,33.9,27.9
Buhera,Manicaland,2016,November,37.1,1414,15,53.2,0.2,0.1,0.26,0.16,78.5,63.5,48.9,103.0,57.6,Rural,29.0,30.9,29.8
Buhera,Manicaland,2017,June,31.9,754,15,50.2,0.21,0.12,0.26,0.17,81.0,64.2,46.4,113.0,61.5,Rural,29.2,37.1,29.1
Buhera,Manicaland,2017,November,38.5,1441,15,49.2,0.21,0.11,0.27,0.17,79.5,63.8,48.7,109.0,62.3,Rural,30.3,31.9,32.1
Buhera,Manicaland,2018,June,35.2,764,15,52.0,0.23,0.14,0.29,0.17,82.2,63.3,44.3,107.0,60.5,Rural,29.0,38.5,28.9
Buhera,Manicaland,2018,November,41.1,1459,15,49.4,0.21,0.14,0.29,0.19,81.6,65.0,46.7,109.0,63.3,Rural,30.4,35.2,29.6
Buhera,Manicaland,2019,June,37.5,789,15,48.4,0.24,0.16,0.3,0.18,81.3,64.7,45.7,116.0,62.9,Rural,30.9,41.1,31.0
Buhera,Manicaland,2019,November,41.5,1471,15,48.3,0.23,0.16,0.3,0.18,82.1,63.5,45.0,114.0,60.6,Rural,30.6,37.5,31.6
Buhera,Manicaland,2020,June,29.7,804,15,55.6,0.21,0.16,0.3,0.2,84.4,64.0,56.2,98.0,62.2,Rural,29.2,41.5,27.3
Buhera,Manicaland,2020,November,32.9,1476,15,52.7,0.22,0.17,0.31,0.19,82.2,63.8,55.7,98.0,61.1,Rural,29.0,29.7,26.6
Buhera,Manicaland,2021,June,29.0,810,15,54.5,0.23,0.19,0.32,0.2,86.8,64.0,54.1,97.0,62.0,Rural,28.3,32.9,28.9
Buhera,Manicaland,2021,November,34.7,1499,15,51.2,0.21,0.18,0.3,0.2,84.2,65.1,51.3,100.0,63.0,Rural,29.9,29.0,28.7
Buhera,Manicaland,2022,June,35.1,810,15,50.0,0.27,0.25,0.31,0.21,77.3,66.2,47.0,118.0,61.3,Rural,28.2,34.7,28.6
Buhera,Manicaland,2022,November,41.2,1540,15,50.1,0.27,0.26,0.32,0.22,79.7,64.6,47.4,126.0,65.1,Rural,28.7,35.1,33.4
Buhera,Manicaland,2023,June,36.0,816,16,50.2,0.27,0.28,0.33,0.22,80.0,65.1,46.7,123.0,62.2,Rural,29.0,41.2,28.9
Buhera,Manicaland,2023,November,40.6,1540,15,50.0,0.27,0.28,0.34,0.21,77.3,64.1,46.7,124.0,65.3,Rural,29.0,36.0,30.1
Buhera,Manicaland,2024,June,38.4,848,16,48.2,0.3,0.31,0.33,0.23,75.8,66.1,47.2,121.0,66.3,Rural,27.8,40.6,30.5
Buhera,Manicaland,2024,November,41.1,1536,16,49.4,0.3,0.28,0.35,0.22,75.0,64.9,48.9,124.0,65.1,Rural,29.3,38.4,33.4
Chimanimani,Manicaland,2015,June,39.8,3183,5,47.1,0.27,0.21,0.16,0.17,66.3,74.1,52.9,41.0,23.9,Rural,63.2,40.5,55.1
Chimanimani,Manicaland,2015,November,42.7,5927,4,45.3,0.28,0.22,0.16,0.17,61.5,74.0,47.3,41.0,25.1,Rural,66.6,39.8,59.6
Chimanimani,Manicaland,2016,June,38.4,3246,5,43.5,0.31,0.24,0.17,0.19,61.9,74.9,49.2,41.0,23.8,Rural,66.2,42.7,59.6
Chimanimani,Manicaland,2016,November,47.4,5966,5,46.6,0.3,0.22,0.17,0.18,65.0,75.2,49.9,44.0,25.1,Rural,67.3,38.4,56.6
Chimanimani,Manicaland,2017,June,41.4,3183,5,46.4,0.3,0.24,0.19,0.2,63.5,75.7,49.8,46.0,25.8,Rural,65.3,47.4,56.8
Chimanimani,Manicaland,2017,November,44.0,6023,5,46.6,0.31,0.24,0.18,0.19,63.6,73.9,48.2,42.0,24.5,Rural,65.8,41.4,60.1
Chimanimani,Manicaland,2018,June,42.8,3391,5,45.8,0.31,0.27,0.2,0.2,64.5,74.4,52.6,44.0,25.7,Rural,64.1,44.0,60.4
Chimanimani,Manicaland,2018,November,48.1,6070,5,43.2,0.32,0.28,0.19,0.21,62.9,75.0,51.2,42.0,24.4,Rural,61.6,42.8,57.8
Chimanimani,Manicaland,2019,June,41.9,3347,5,43.0,0.34,0.28,0.2,0.21,60.6,74.6,48.0,44.0,24.9,Rural,61.0,48.1,61.6
Chimanimani,Manicaland,2019,November,51.1,6058,5,42.7,0.34,0.29,0.2,0.22,62.7,76.4,53.1,48.0,26.1,Rural,64.9,41.9,62.2
Chimanimani,Manicaland,2020,June,37.6,3448,5,47.9,0.3,0.31,0.21,0.22,66.0,76.0,52.6,40.0,25.2,Rural,64.5,51.1,57.8
Chimanimani,Manicaland,2020,November,42.8,6183,5,48.4,0.3,0.29,0.22,0.21,65.0,76.3,52.6,38.0,25.0,Rural,62.2,37.6,56.6
Chimanimani,Manicaland,2021,June,40.2,3434,5,45.7,0.33,0.32,0.23,0.23,68.8,76.2,59.1,40.0,27.0,Rural,61.5,42.8,59.4
Chimanimani,Manicaland,2021,November,41.9,6310,5,46.2,0.31,0.32,0.22,0.22,64.4,76.4,53.6,40.0,25.8,Rural,59.4,40.2,56.8
Chimanimani,Manicaland,2022,June,43.5,3414,5,42.5,0.36,0.41,0.24,0.23,60.5,76.8,48.1,47.0,26.4,Rural,60.9,41.9,57.9
Chimanimani,Manicaland,2022,November,45.4,6401,5,42.9,0.38,0.37,0.24,0.24,59.0,74.3,52.4,46.0,25.5,Rural,58.5,43.5,57.0
Chimanimani,Manicaland,2023,June,45.2,3620,5,44.3,0.36,0.41,0.24,0.25,61.3,76.3,53.0,48.0,27.0,Rural,58.4,45.4,58.9
Chimanimani,Manicaland,2023,November,47.2,6634,5,44.3,0.38,0.42,0.25,0.24,60.8,76.0,50.7,50.0,26.1,Rural,59.2,45.2,62.6
Chimanimani,Manicaland,2024,June,45.4,3525,5,41.4,0.4,0.42,0.26,0.26,58.7,75.3,51.7,51.0,28.1,Rural,58.3,47.2,60.6
Chimanimani,Manicaland,2024,November,48.2,6818,5,40.7,0.37,0.4,0.26,0.26,62.3,75.7,52.8,48.0,26.9,Rural,62.3,45.4,60.2
Chipinge,Manicaland,2015,June,51.5,5029,29,29.1,0.51,0.31,0.41,0.39,55.1,92.8,36.0,178.0,190.9,Semi-Urban,10.4,54.0,56.8
Chipinge,Manicaland,2015,November,58.9,9064,30,30.6,0.5,0.32,0.4,0.41,54.9,90.0,34.8,185.0,184.8,Semi-Urban,10.0,51.5,53.3
Chipinge,Manicaland,2016,June,52.4,5032,30,28.7,0.49,0.37,0.4,0.41,53.8,92.9,34.5,195.0,196.0,Semi-Urban,10.2,58.9,57.2
Chipinge,Manicaland,2016,November,55.7,9575,29,29.5,0.49,0.35,0.43,0.4,52.0,91.8,35.4,193.0,191.0,Semi-Urban,10.7,52.4,57.6
Chipinge,Manicaland,2017,June,56.2,5092,30,29.4,0.5,0.34,0.43,0.43,52.9,90.1,38.8,202.0,191.4,Semi-Urban,10.2,55.7,55.4
Chipinge,Manicaland,2017,November,60.0,9686,30,28.4,0.49,0.36,0.44,0.42,52.3,93.3,33.5,197.0,185.5,Semi-Urban,10.3,56.2,58.5
Chipinge,Manicaland,2018,June,54.4,5100,31,29.5,0.52,0.39,0.45,0.42,51.4,91.4,38.2,204.0,193.6,Semi-Urban,10.4,60.0,54.4
Chipinge,Manicaland,2018,November,56.5,9968,30,29.7,0.54,0.4,0.45,0.42,51.7,93.2,38.4,196.0,200.3,Semi-Urban,10.2,54.4,55.6
Chipinge,Manicaland,2019,June,56.2,5163,30,28.5,0.54,0.38,0.44,0.43,51.5,93.9,34.4,202.0,191.5,Semi-Urban,9.7,56.5,57.2
Chipinge,Manicaland,2019,November,64.5,10127,30,29.8,0.51,0.38,0.45,0.41,50.7,92.2,34.1,207.0,204.0,Semi-Urban,10.2,56.2,59.5
Chipinge,Manicaland,2020,June,47.2,5268,31,31.6,0.51,0.42,0.45,0.45,56.6,92.1,40.4,178.0,199.8,Semi-Urban,10.3,64.5,52.0
Chipinge,Manicaland,2020,November,51.7,9955,30,31.0,0.52,0.41,0.46,0.46,56.6,93.4,44.7,174.0,195.1,Semi-Urban,10.3,47.2,51.0
Chipinge,Manicaland,2021,June,49.2,5543,31,29.6,0.52,0.41,0.46,0.46,55.3,93.3,43.2,179.0,201.8,Semi-Urban,10.3,51.7,55.0
Chipinge,Manicaland,2021,November,55.5,9938,31,30.5,0.53,0.45,0.46,0.43,58.8,92.4,41.0,174.0,206.8,Semi-Urban,9.7,49.2,54.4
Chipinge,Manicaland,2022,June,55.0,5572,31,28.6,0.56,0.52,0.47,0.47,52.0,93.6,36.1,221.0,210.5,Semi-Urban,9.9,55.5,55.0
Chipinge,Manicaland,2022,November,58.8,10350,31,28.4,0.6,0.51,0.47,0.44,53.1,93.0,36.2,218.0,197.7,Semi-Urban,9.3,55.0,58.5
Chipinge,Manicaland,2023,June,60.2,5604,32,26.8,0.57,0.53,0.5,0.45,50.6,94.3,36.2,205.0,201.2,Semi-Urban,10.1,58.8,58.3
Chipinge,Manicaland,2023,November,64.0,10226,31,28.1,0.58,0.53,0.51,0.47,50.3,93.8,33.8,207.0,200.1,Semi-Urban,10.1,60.2,61.0
Chipinge,Manicaland,2024,June,61.7,5770,32,27.2,0.62,0.57,0.49,0.47,51.1,94.2,32.8,209.0,206.5,Semi-Urban,9.6,64.0,56.0
Chipinge,Manicaland,2024,November,61.9,10764,32,27.5,0.6,0.57,0.49,0.47,50.7,91.5,35.6,210.0,208.3,Semi-Urban,10.0,61.7,59.4
Makoni,Manicaland,2015,June,54.7,3201,37,40.7,0.57,0.4,0.65,0.42,50.3,87.0,23.2,189.0,78.5,Semi-Urban,15.3,55.6,47.7
Makoni,Manicaland,2015,November,62.9,6177,38,41.3,0.61,0.44,0.66,0.42,48.5,86.7,24.9,179.0,75.9,Semi-Urban,14.7,54.7,49.7
Makoni,Manicaland,2016,June,58.5,3221,38,39.9,0.63,0.43,0.65,0.46,49.3,87.2,26.4,203.0,79.7,Semi-Urban,14.8,62.9,50.2
Makoni,Manicaland,2016,November,62.1,6096,38,39.1,0.61,0.46,0.65,0.44,46.5,84.1,25.8,199.0,74.3,Semi-Urban,15.0,58.5,49.0
Makoni,Manicaland,2017,June,59.7,3252,38,40.0,0.62,0.46,0.69,0.42,47.9,84.9,21.9,202.0,80.1,Semi-Urban,15.1,62.1,52.1
Makoni,Manicaland,2017,November,65.7,6144,38,38.5,0.6,0.44,0.69,0.44,47.4,86.0,25.4,203.0,77.9,Semi-Urban,14.8,59.7,49.5
Makoni,Manicaland,2018,June,61.1,3483,38,41.3,0.6,0.46,0.71,0.44,49.2,84.7,23.7,212.0,76.8,Semi-Urban,14.3,65.7,53.2
Makoni,Manicaland,2018,November,67.4,6450,39,39.6,0.63,0.5,0.66,0.47,48.8,86.1,23.3,193.0,79.1,Semi-Urban,14.6,61.1,51.0
Makoni,Manicaland,2019,June,61.1,3389,39,40.6,0.63,0.51,0.72,0.46,48.2,86.6,21.2,195.0,79.7,Semi-Urban,14.1,67.4,49.2
Makoni,Manicaland,2019,November,67.4,6217,39,38.1,0.66,0.47,0.68,0.47,45.6,85.1,23.0,204.0,77.9,Semi-Urban,13.7,61.1,51.9
Makoni,Manicaland,2020,June,54.8,3481,39,43.0,0.65,0.52,0.7,0.49,50.0,85.5,29.6,175.0,83.1,Semi-Urban,14.2,67.4,45.1
Makoni,Manicaland,2020,November,60.9,6607,39,41.5,0.65,0.51,0.7,0.45,52.3,87.9,30.6,184.0,81.0,Semi-Urban,14.4,54.8,47.8
Makoni,Manicaland,2021,June,57.9,3470,39,43.4,0.63,0.54,0.71,0.48,50.1,87.7,27.8,186.0,78.4,Semi-Urban,14.5,60.9,46.1
Makoni,Manicaland,2021,November,60.9,6456,40,42.0,0.62,0.56,0.74,0.49,49.5,86.5,30.0,175.0,82.9,Semi-Urban,13.7,57.9,51.4
Makoni,Manicaland,2022,June,64.6,3649,40,38.6,0.67,0.59,0.71,0.46,47.2,85.8,24.1,208.0,79.6,Semi-Urban,13.9,60.9,52.8
Makoni,Manicaland,2022,November,64.3,6524,39,37.0,0.69,0.57,0.72,0.5,45.6,87.2,23.7,209.0,84.8,Semi-Urban,13.8,64.6,48.6
Makoni,Manicaland,2023,June,65.7,3574,40,37.2,0.7,0.58,0.76,0.49,44.1,88.2,23.4,211.0,81.3,Semi-Urban,13.4,64.3,54.6
Makoni,Manicaland,2023,November,71.6,6800,40,39.7,0.7,0.58,0.76,0.47,44.1,88.3,23.2,217.0,82.5,Semi-Urban,13.5,65.7,50.7
Makoni,Manicaland,2024,June,63.2,3626,40,37.2,0.72,0.61,0.72,0.49,44.2,87.4,23.9,235.0,85.5,Semi-Urban,13.5,71.6,52.7
Makoni,Manicaland,2024,November,72.3,6920,40,37.6,0.68,0.62,0.77,0.48,46.7,87.9,21.8,234.0,84.5,Semi-Urban,13.3,63.2,51.6
Mutare Urban,Manicaland,2015,June,75.2,19162,117,21.7,0.81,0.75,0.81,0.81,28.1,95.9,17.9,348.0,366.8,Urban,3.7,72.4,76.5
Mutare Urban,Manicaland,2015,November,79.8,35393,118,23.0,0.76,0.73,0.77,0.8,28.1,94.1,17.1,335.0,389.6,Urban,3.4,75.2,75.2
Mutare Urban,Manicaland,2016,June,77.6,19709,119,21.9,0.84,0.73,0.77,0.82,26.8,94.9,17.9,331.0,375.2,Urban,3.6,79.8,74.1
